"","IXIC.Adjusted"
"1008",2652.8701171875
"1009",2691.52001953125
"1010",2681.25
"1011",2702.19995117188
"1012",2709.88989257812
"1013",2703.169921875
"1014",2707.80004882812
"1015",2716.830078125
"1016",2737.330078125
"1017",2735.2900390625
"1018",2755.30004882812
"1019",2765.85009765625
"1020",2725.36010742188
"1021",2704.2900390625
"1022",2689.5400390625
"1023",2717.55004882812
"1024",2719.25
"1025",2739.5
"1026",2755.28002929688
"1027",2686.88989257812
"1028",2700.080078125
"1029",2751.18994140625
"1030",2749.56005859375
"1031",2753.8798828125
"1032",2769.30004882812
"1033",2783.98999023438
"1034",2797.05004882812
"1035",2789.07006835938
"1036",2790.44995117188
"1037",2809.43994140625
"1038",2817.17993164062
"1039",2804.35009765625
"1040",2825.56005859375
"1041",2831.580078125
"1042",2833.94995117188
"1043",2756.419921875
"1044",2722.98999023438
"1045",2737.89990234375
"1046",2781.05004882812
"1047",2782.27001953125
"1048",2737.40991210938
"1049",2748.07006835938
"1050",2798.73999023438
"1051",2784.669921875
"1052",2745.6298828125
"1053",2765.77001953125
"1054",2751.71997070312
"1055",2701.02001953125
"1056",2715.61010742188
"1057",2700.96997070312
"1058",2667.330078125
"1059",2616.82006835938
"1060",2636.05004882812
"1061",2643.669921875
"1062",2692.09008789062
"1063",2683.8701171875
"1064",2698.30004882812
"1065",2736.419921875
"1066",2743.06005859375
"1067",2730.67993164062
"1068",2756.88989257812
"1069",2776.7900390625
"1070",2781.07006835938
"1071",2789.60009765625
"1072",2789.18994140625
"1073",2791.18994140625
"1074",2799.82006835938
"1075",2796.13989257812
"1076",2780.419921875
"1077",2771.51000976562
"1078",2744.7900390625
"1079",2761.52001953125
"1080",2760.21997070312
"1081",2764.64990234375
"1082",2735.3798828125
"1083",2744.96997070312
"1084",2802.51000976562
"1085",2820.15991210938
"1086",2825.8798828125
"1087",2847.5400390625
"1088",2869.8798828125
"1089",2872.53002929688
"1090",2873.5400390625
"1091",2864.080078125
"1092",2841.6201171875
"1093",2828.22998046875
"1094",2814.71997070312
"1095",2827.56005859375
"1096",2843.25
"1097",2871.88989257812
"1098",2845.06005859375
"1099",2863.0400390625
"1100",2828.46997070312
"1101",2782.31005859375
"1102",2783.2099609375
"1103",2815
"1104",2823.31005859375
"1105",2803.32006835938
"1106",2758.89990234375
"1107",2746.15991210938
"1108",2761.3798828125
"1109",2782.919921875
"1110",2796.86010742188
"1111",2835.30004882812
"1112",2769.18994140625
"1113",2773.31005859375
"1114",2732.78002929688
"1115",2702.56005859375
"1116",2701.56005859375
"1117",2675.3798828125
"1118",2684.8701171875
"1119",2643.72998046875
"1120",2639.68994140625
"1121",2678.71997070312
"1122",2631.4599609375
"1123",2623.69995117188
"1124",2616.47998046875
"1125",2629.65991210938
"1126",2687.26000976562
"1127",2669.18994140625
"1128",2686.75
"1129",2652.88989257812
"1130",2688.28002929688
"1131",2729.31005859375
"1132",2740.48999023438
"1133",2773.52001953125
"1134",2816.03002929688
"1135",2825.77001953125
"1136",2834.02001953125
"1137",2872.65991210938
"1138",2859.81005859375
"1139",2802.6201171875
"1140",2781.90991210938
"1141",2796.919921875
"1142",2762.669921875
"1143",2789.80004882812
"1144",2765.11010742188
"1145",2826.52001953125
"1146",2814.22998046875
"1147",2834.42993164062
"1148",2858.830078125
"1149",2842.80004882812
"1150",2839.9599609375
"1151",2764.7900390625
"1152",2766.25
"1153",2756.3798828125
"1154",2744.61010742188
"1155",2669.23999023438
"1156",2693.07006835938
"1157",2556.38989257812
"1158",2532.40991210938
"1159",2357.68994140625
"1160",2482.52001953125
"1161",2381.05004882812
"1162",2492.67993164062
"1163",2507.97998046875
"1164",2555.19995117188
"1165",2523.44995117188
"1166",2511.47998046875
"1167",2380.42993164062
"1168",2341.84008789062
"1169",2345.3798828125
"1170",2446.06005859375
"1171",2467.68994140625
"1172",2419.6298828125
"1173",2479.85009765625
"1174",2562.11010742188
"1175",2576.11010742188
"1176",2579.4599609375
"1177",2546.0400390625
"1178",2480.330078125
"1179",2473.830078125
"1180",2548.93994140625
"1181",2529.13989257812
"1182",2467.98999023438
"1183",2495.09008789062
"1184",2532.14990234375
"1185",2572.55004882812
"1186",2607.07006835938
"1187",2622.31005859375
"1188",2612.830078125
"1189",2590.23999023438
"1190",2538.18994140625
"1191",2455.669921875
"1192",2483.22998046875
"1193",2516.68994140625
"1194",2546.830078125
"1195",2491.580078125
"1196",2480.76000976562
"1197",2415.39990234375
"1198",2335.830078125
"1199",2404.82006835938
"1200",2460.51000976562
"1201",2506.82006835938
"1202",2479.35009765625
"1203",2566.05004882812
"1204",2583.03002929688
"1205",2604.72998046875
"1206",2620.23999023438
"1207",2667.85009765625
"1208",2614.919921875
"1209",2657.42993164062
"1210",2604.0400390625
"1211",2598.6201171875
"1212",2637.4599609375
"1213",2699.43994140625
"1214",2638.419921875
"1215",2650.669921875
"1216",2738.6298828125
"1217",2737.14990234375
"1218",2684.40991210938
"1219",2606.9599609375
"1220",2639.97998046875
"1221",2697.96997070312
"1222",2686.14990234375
"1223",2695.25
"1224",2727.48999023438
"1225",2621.64990234375
"1226",2625.14990234375
"1227",2678.75
"1228",2657.21997070312
"1229",2686.19995117188
"1230",2639.61010742188
"1231",2587.98999023438
"1232",2572.5
"1233",2523.13989257812
"1234",2521.28002929688
"1235",2460.080078125
"1236",2441.51000976562
"1237",2527.34008789062
"1238",2515.51000976562
"1239",2620.34008789062
"1240",2626.19995117188
"1241",2626.92993164062
"1242",2655.76000976562
"1243",2649.56005859375
"1244",2649.2099609375
"1245",2596.3798828125
"1246",2646.85009765625
"1247",2612.26000976562
"1248",2579.27001953125
"1249",2539.31005859375
"1250",2541.01000976562
"1251",2555.330078125
"1252",2523.13989257812
"1253",2603.72998046875
"1254",2577.96997070312
"1255",2599.44995117188
"1256",2618.63989257812
"1257",2625.19995117188
"1258",2589.97998046875
"1259",2613.73999023438
"1260",2605.14990234375
"1261",2648.71997070312
"1262",2648.36010742188
"1263",2669.86010742188
"1264",2674.21997070312
