"","GSPC.Adjusted"
"676",1025.39001464844
"677",1033.36999511719
"678",1044.14001464844
"679",1042.72998046875
"680",1049.33996582031
"681",1052.63000488281
"682",1068.76000976562
"683",1065.48999023438
"684",1068.30004882812
"685",1064.66003417969
"686",1071.66003417969
"687",1060.86999511719
"688",1050.78002929688
"689",1044.38000488281
"690",1062.97998046875
"691",1060.60998535156
"692",1057.07995605469
"693",1029.84997558594
"694",1025.2099609375
"695",1040.4599609375
"696",1054.71997070312
"697",1057.57995605469
"698",1065.47998046875
"699",1071.48999023438
"700",1076.18994140625
"701",1073.18994140625
"702",1092.02001953125
"703",1096.56005859375
"704",1087.68005371094
"705",1097.91003417969
"706",1091.06005859375
"707",1081.40002441406
"708",1092.91003417969
"709",1079.59997558594
"710",1066.94995117188
"711",1063.41003417969
"712",1042.63000488281
"713",1066.10998535156
"714",1036.18994140625
"715",1042.88000488281
"716",1045.41003417969
"717",1046.5
"718",1066.63000488281
"719",1069.30004882812
"720",1093.07995605469
"721",1093.01000976562
"722",1098.51000976562
"723",1087.23999023438
"724",1093.47998046875
"725",1109.30004882812
"726",1110.31994628906
"727",1109.80004882812
"728",1094.90002441406
"729",1091.38000488281
"730",1106.23999023438
"731",1105.65002441406
"732",1110.63000488281
"733",1091.48999023438
"734",1095.63000488281
"735",1108.85998535156
"736",1109.23999023438
"737",1099.92004394531
"738",1105.97998046875
"739",1103.25
"740",1091.93994140625
"741",1095.94995117188
"742",1102.34997558594
"743",1106.41003417969
"744",1114.10998535156
"745",1107.93005371094
"746",1109.18005371094
"747",1096.07995605469
"748",1102.46997070312
"749",1114.05004882812
"750",1118.02001953125
"751",1120.58996582031
"752",1126.47998046875
"753",1127.78002929688
"754",1126.19995117188
"755",1126.42004394531
"756",1115.09997558594
"757",1132.98999023438
"758",1136.52001953125
"759",1137.14001464844
"760",1141.68994140625
"761",1144.97998046875
"762",1146.97998046875
"763",1136.21997070312
"764",1145.68005371094
"765",1148.4599609375
"766",1136.03002929688
"767",1150.22998046875
"768",1138.0400390625
"769",1116.47998046875
"770",1091.76000976562
"771",1096.78002929688
"772",1092.17004394531
"773",1097.5
"774",1084.53002929688
"775",1073.86999511719
"776",1089.18994140625
"777",1103.31994628906
"778",1097.28002929688
"779",1063.10998535156
"780",1066.18994140625
"781",1056.73999023438
"782",1070.52001953125
"783",1068.13000488281
"784",1078.46997070312
"785",1075.51000976562
"786",1094.86999511719
"787",1099.51000976562
"788",1106.75
"789",1109.17004394531
"790",1108.01000976562
"791",1094.59997558594
"792",1105.23999023438
"793",1102.93994140625
"794",1104.48999023438
"795",1115.7099609375
"796",1118.31005859375
"797",1118.7900390625
"798",1122.96997070312
"799",1138.69995117188
"800",1138.5
"801",1140.44995117188
"802",1145.60998535156
"803",1150.23999023438
"804",1149.98999023438
"805",1150.51000976562
"806",1159.4599609375
"807",1166.2099609375
"808",1165.82995605469
"809",1159.90002441406
"810",1165.81005859375
"811",1174.17004394531
"812",1167.71997070312
"813",1165.72998046875
"814",1166.58996582031
"815",1173.21997070312
"816",1173.27001953125
"817",1169.43005371094
"818",1178.09997558594
"819",1187.43994140625
"820",1189.43994140625
"821",1182.44995117188
"822",1186.43994140625
"823",1194.36999511719
"824",1196.47998046875
"825",1197.30004882812
"826",1210.65002441406
"827",1211.67004394531
"828",1192.13000488281
"829",1197.52001953125
"830",1207.17004394531
"831",1205.93994140625
"832",1208.67004394531
"833",1217.28002929688
"834",1212.05004882812
"835",1183.7099609375
"836",1191.35998535156
"837",1206.78002929688
"838",1186.68994140625
"839",1202.26000976562
"840",1173.59997558594
"841",1165.86999511719
"842",1128.15002441406
"843",1110.88000488281
"844",1159.72998046875
"845",1155.7900390625
"846",1171.67004394531
"847",1157.43994140625
"848",1135.68005371094
"849",1136.93994140625
"850",1120.80004882812
"851",1115.05004882812
"852",1071.58996582031
"853",1087.68994140625
"854",1073.65002441406
"855",1074.03002929688
"856",1067.94995117188
"857",1103.06005859375
"858",1089.41003417969
"859",1070.7099609375
"860",1098.38000488281
"861",1102.82995605469
"862",1064.88000488281
"863",1050.46997070312
"864",1062
"865",1055.68994140625
"866",1086.83996582031
"867",1091.59997558594
"868",1089.63000488281
"869",1115.22998046875
"870",1114.60998535156
"871",1116.0400390625
"872",1117.51000976562
"873",1113.19995117188
"874",1095.31005859375
"875",1092.0400390625
"876",1073.68994140625
"877",1076.76000976562
"878",1074.56994628906
"879",1041.23999023438
"880",1030.7099609375
"881",1027.36999511719
"882",1022.58001708984
"883",1028.06005859375
"884",1060.27001953125
"885",1070.25
