"","BTC-USD.Adjusted"
"604",454.765991210938
"605",455.670013427734
"606",455.670989990234
"607",457.567993164062
"608",454.162994384766
"609",453.782989501953
"610",454.618988037109
"611",438.714996337891
"612",442.675994873047
"613",443.18798828125
"614",439.322998046875
"615",444.154998779297
"616",445.980987548828
"617",449.598999023438
"618",453.384002685547
"619",473.463989257812
"620",530.039978027344
"621",526.232971191406
"622",533.864013671875
"623",531.385986328125
"624",536.919982910156
"625",537.971984863281
"626",569.193969726562
"627",572.726989746094
"628",574.976989746094
"629",585.536987304688
"630",576.596984863281
"631",581.64501953125
"632",574.630004882812
"633",577.469970703125
"634",606.726989746094
"635",672.783996582031
"636",704.3759765625
"637",685.559020996094
"638",694.468994140625
"639",766.307983398438
"640",748.908996582031
"641",756.226989746094
"642",763.781005859375
"643",737.226013183594
"644",666.651977539062
"645",596.116027832031
"646",623.976989746094
"647",665.299011230469
"648",665.122985839844
"649",629.367004394531
"650",655.275024414062
"651",647.0009765625
"652",639.890014648438
"653",673.336975097656
"654",676.296020507812
"655",703.702026367188
"656",658.664001464844
"657",683.661987304688
"658",670.627014160156
"659",677.330993652344
"660",640.56201171875
"661",666.523010253906
"662",650.960021972656
"663",649.359985351562
"664",647.658996582031
"665",664.551025390625
"666",654.468017578125
"667",658.078002929688
"668",663.255004882812
"669",660.767028808594
"670",679.458984375
"671",673.106018066406
"672",672.864013671875
"673",665.684997558594
"674",665.012023925781
"675",650.619018554688
"676",655.556030273438
"677",661.284973144531
"678",654.096984863281
"679",651.783996582031
"680",654.351989746094
"681",655.034973144531
"682",656.992004394531
"683",655.046997070312
"684",624.681030273438
"685",606.27197265625
"686",547.465026855469
"687",566.35498046875
"688",578.289001464844
"689",575.043029785156
"690",587.778015136719
"691",592.690002441406
"692",591.054016113281
"693",587.801025390625
"694",592.10302734375
"695",589.119995117188
"696",587.559020996094
"697",585.588012695312
"698",570.473022460938
"699",567.239990234375
"700",577.439025878906
"701",573.216003417969
"702",574.317993164062
"703",575.630004882812
"704",581.697021484375
"705",581.307983398438
"706",586.752990722656
"707",583.414978027344
"708",580.182006835938
"709",577.760986328125
"710",579.651000976562
"711",569.947021484375
"712",573.911987304688
"713",574.106994628906
"714",577.502990722656
"715",575.471984863281
"716",572.302978515625
"717",575.536987304688
"718",598.211975097656
"719",608.633972167969
"720",606.590026855469
"721",610.435974121094
"722",614.544006347656
"723",626.315979003906
"724",622.861022949219
"725",623.508972167969
"726",606.718994140625
"727",608.242980957031
"728",609.241027832031
"729",610.684020996094
"730",607.155029296875
"731",606.973022460938
"732",605.984008789062
"733",609.8740234375
"734",609.226989746094
"735",608.31201171875
"736",597.148986816406
"737",596.297973632812
"738",602.841979980469
"739",602.625
"740",600.825988769531
"741",608.043029785156
"742",606.166015625
"743",604.72802734375
"744",605.692993164062
"745",609.734985351562
"746",613.982971191406
"747",610.892028808594
"748",612.132995605469
"749",610.203979492188
"750",612.510986328125
"751",613.02099609375
"752",617.120971679688
"753",619.107971191406
"754",616.752014160156
"755",618.994018554688
"756",641.072021484375
"757",636.192016601562
"758",636.786010742188
"759",640.377990722656
"760",638.64599609375
"761",641.630981445312
"762",639.192993164062
"763",637.960021972656
"764",630.52001953125
"765",630.856994628906
"766",632.828002929688
"767",657.294006347656
"768",657.070983886719
"769",653.760986328125
"770",657.588012695312
"771",678.304016113281
"772",688.31298828125
"773",689.651000976562
"774",714.47900390625
"775",701.864013671875
"776",700.971984863281
"777",729.793029785156
"778",740.828979492188
"779",688.700012207031
"780",703.234985351562
"781",703.418029785156
"782",711.52197265625
"783",703.130981445312
"784",709.848022460938
"785",723.273010253906
"786",715.533996582031
"787",716.411010742188
"788",705.054016113281
"789",702.031005859375
"790",705.02099609375
"791",711.619018554688
"792",744.197998046875
"793",740.976989746094
"794",751.585021972656
"795",751.616027832031
"796",731.026000976562
"797",739.247985839844
"798",751.346984863281
"799",744.593994140625
"800",740.289001464844
"801",741.648986816406
"802",735.382019042969
"803",732.034973144531
"804",735.81298828125
"805",735.60400390625
"806",745.690979003906
"807",756.773986816406
"808",777.943969726562
"809",771.155029296875
"810",773.872009277344
"811",758.700012207031
"812",764.223999023438
"813",768.132019042969
"814",770.809997558594
"815",772.794006347656
"816",774.650024414062
"817",769.731018066406
"818",780.086975097656
"819",780.556030273438
"820",781.481018066406
"821",778.088012695312
"822",784.906982421875
"823",790.828979492188
"824",790.530029296875
"825",792.713989257812
"826",800.8759765625
"827",834.281005859375
"828",864.539978027344
"829",921.984008789062
"830",898.822021484375
"831",896.182983398438
"832",907.609985351562
"833",933.197998046875
"834",975.921020507812
"835",973.497009277344
"836",961.237976074219
"837",963.742980957031
"838",998.325012207031
"839",1021.75
"840",1043.83996582031
"841",1154.72998046875
"842",1013.38000488281
"843",902.200988769531
"844",908.585021972656
"845",911.198974609375
"846",902.828002929688
"847",907.679016113281
"848",777.757019042969
"849",804.833984375
"850",823.984008789062
"851",818.411987304688
"852",821.797973632812
"853",831.533996582031
"854",907.93798828125
"855",886.617980957031
"856",899.072998046875
"857",895.026000976562
"858",921.789001464844
"859",924.672973632812
"860",921.012023925781
"861",892.68701171875
"862",901.5419921875
"863",917.585998535156
"864",919.75
"865",921.590026855469
"866",919.495971679688
"867",920.382019042969
"868",970.403015136719
"869",989.023010253906
"870",1011.79998779297
"871",1029.91003417969
"872",1042.90002441406
"873",1027.33996582031
"874",1038.15002441406
"875",1061.34997558594
"876",1063.06994628906
"877",994.382995605469
"878",988.674011230469
"879",1004.45001220703
"880",999.181030273438
"881",990.642028808594
"882",1004.54998779297
"883",1007.47998046875
"884",1027.43994140625
"885",1046.2099609375
"886",1054.42004394531
"887",1047.86999511719
"888",1079.97998046875
"889",1115.30004882812
"890",1117.43994140625
"891",1166.71997070312
"892",1173.68005371094
"893",1143.83996582031
"894",1165.19995117188
"895",1179.96997070312
"896",1179.96997070312
"897",1222.5
"898",1251.01000976562
"899",1274.98999023438
"900",1255.15002441406
"901",1267.11999511719
"902",1272.82995605469
"903",1223.5400390625
"904",1150
"905",1188.48999023438
"906",1116.71997070312
"907",1175.82995605469
"908",1221.38000488281
"909",1231.92004394531
"910",1240
"911",1249.60998535156
"912",1187.81005859375
"913",1100.22998046875
"914",973.817993164062
"915",1036.73999023438
"916",1054.22998046875
"917",1120.5400390625
"918",1049.14001464844
"919",1038.58996582031
"920",937.52001953125
"921",972.778991699219
"922",966.724975585938
"923",1045.77001953125
"924",1047.15002441406
"925",1039.96997070312
"926",1026.43005371094
"927",1071.7900390625
"928",1080.5
"929",1102.17004394531
"930",1143.81005859375
"931",1133.25
"932",1124.78002929688
"933",1182.68005371094
"934",1176.90002441406
"935",1175.94995117188
"936",1187.86999511719
"937",1187.13000488281
"938",1205.01000976562
"939",1200.36999511719
"940",1169.28002929688
"941",1167.5400390625
"942",1172.52001953125
"943",1182.93994140625
"944",1193.91003417969
"945",1211.67004394531
"946",1210.2900390625
"947",1229.07995605469
"948",1222.05004882812
"949",1231.7099609375
"950",1207.2099609375
"951",1250.15002441406
"952",1265.48999023438
"953",1281.07995605469
"954",1317.72998046875
"955",1316.47998046875
"956",1321.7900390625
"957",1347.89001464844
"958",1421.59997558594
"959",1452.81994628906
"960",1490.08996582031
"961",1537.67004394531
"962",1555.44995117188
"963",1578.80004882812
"964",1596.7099609375
"965",1723.34997558594
"966",1755.35998535156
"967",1787.13000488281
"968",1848.56994628906
"969",1724.23999023438
"970",1804.91003417969
"971",1808.91003417969
"972",1738.43005371094
"973",1734.44995117188
"974",1839.08996582031
"975",1888.65002441406
"976",1987.7099609375
"977",2084.72998046875
"978",2041.19995117188
"979",2173.39990234375
"980",2320.419921875
"981",2443.63989257812
"982",2304.97998046875
"983",2202.419921875
"984",2038.86999511719
"985",2155.80004882812
"986",2255.61010742188
"987",2175.46997070312
"988",2286.40991210938
"989",2407.8798828125
"990",2488.55004882812
"991",2515.35009765625
"992",2511.81005859375
"993",2686.81005859375
"994",2863.19995117188
"995",2732.15991210938
"996",2805.6201171875
"997",2823.81005859375
"998",2947.7099609375
"999",2958.11010742188
"1000",2659.6298828125
"1001",2717.02001953125
"1002",2506.3701171875
"1003",2464.580078125
"1004",2518.56005859375
"1005",2655.8798828125
"1006",2548.2900390625
"1007",2589.60009765625
"1008",2721.7900390625
"1009",2689.10009765625
"1010",2705.40991210938
"1011",2744.90991210938
"1012",2608.71997070312
"1013",2589.40991210938
"1014",2478.44995117188
"1015",2552.44995117188
"1016",2574.7900390625
"1017",2539.32006835938
"1018",2480.84008789062
"1019",2434.55004882812
"1020",2506.46997070312
"1021",2564.06005859375
"1022",2601.63989257812
"1023",2601.98999023438
"1024",2608.56005859375
"1025",2518.65991210938
"1026",2571.34008789062
"1027",2518.43994140625
"1028",2372.56005859375
"1029",2337.7900390625
"1030",2398.84008789062
"1031",2357.89990234375
"1032",2233.34008789062
"1033",1998.85998535156
"1034",1929.81994628906
"1035",2228.40991210938
"1036",2318.8798828125
"1037",2273.42993164062
"1038",2817.60009765625
"1039",2667.76000976562
"1040",2810.1201171875
"1041",2730.39990234375
"1042",2754.86010742188
"1043",2576.47998046875
"1044",2529.44995117188
"1045",2671.78002929688
"1046",2809.01000976562
"1047",2726.44995117188
"1048",2757.17993164062
"1049",2875.34008789062
"1050",2718.26000976562
"1051",2710.669921875
"1052",2804.72998046875
"1053",2895.88989257812
"1054",3252.90991210938
"1055",3213.93994140625
"1056",3378.93994140625
"1057",3419.93994140625
"1058",3342.46997070312
"1059",3381.28002929688
"1060",3650.6201171875
"1061",3884.7099609375
"1062",4073.26000976562
"1063",4325.1298828125
"1064",4181.93017578125
"1065",4376.6298828125
"1066",4331.68994140625
"1067",4160.6201171875
"1068",4193.7001953125
"1069",4087.65991210938
"1070",4001.73999023438
"1071",4100.52001953125
"1072",4151.52001953125
"1073",4334.68017578125
"1074",4371.60009765625
"1075",4352.39990234375
"1076",4382.8798828125
"1077",4382.66015625
"1078",4579.02001953125
"1079",4565.2998046875
"1080",4703.39013671875
"1081",4892.009765625
"1082",4578.77001953125
"1083",4582.9599609375
"1084",4236.31005859375
"1085",4376.52978515625
"1086",4597.1201171875
"1087",4599.8798828125
"1088",4228.75
"1089",4226.06005859375
"1090",4122.93994140625
"1091",4161.27001953125
"1092",4130.81005859375
"1093",3882.59008789062
"1094",3154.94995117188
"1095",3637.52001953125
"1096",3625.0400390625
"1097",3582.8798828125
"1098",4065.19995117188
"1099",3924.96997070312
"1100",3905.94995117188
"1101",3631.0400390625
"1102",3630.69995117188
"1103",3792.39990234375
"1104",3682.84008789062
"1105",3926.07006835938
"1106",3892.35009765625
"1107",4200.669921875
"1108",4174.72998046875
"1109",4163.06982421875
"1110",4338.7099609375
"1111",4403.740234375
"1112",4409.31982421875
"1113",4317.47998046875
"1114",4229.35986328125
"1115",4328.41015625
"1116",4370.81005859375
"1117",4426.89013671875
"1118",4610.47998046875
"1119",4772.02001953125
"1120",4781.990234375
"1121",4826.47998046875
"1122",5446.91015625
"1123",5647.2099609375
"1124",5831.7900390625
"1125",5678.18994140625
"1126",5725.58984375
"1127",5605.509765625
"1128",5590.68994140625
"1129",5708.52001953125
"1130",6011.4501953125
"1131",6031.60009765625
"1132",6008.419921875
"1133",5930.31982421875
"1134",5526.64013671875
"1135",5750.7998046875
"1136",5904.830078125
"1137",5780.89990234375
"1138",5753.08984375
"1139",6153.85009765625
"1140",6130.52978515625
"1141",6468.39990234375
"1142",6767.31005859375
"1143",7078.5
"1144",7207.759765625
"1145",7379.9501953125
"1146",7407.41015625
"1147",7022.759765625
"1148",7144.3798828125
"1149",7459.68994140625
"1150",7143.580078125
"1151",6618.14013671875
"1152",6357.60009765625
"1153",5950.06982421875
"1154",6559.490234375
"1155",6635.75
"1156",7315.5400390625
"1157",7871.68994140625
"1158",7708.990234375
"1159",7790.14990234375
"1160",8036.490234375
"1161",8200.6396484375
"1162",8071.259765625
"1163",8253.5498046875
"1164",8038.77001953125
"1165",8253.6904296875
"1166",8790.919921875
"1167",9330.5498046875
"1168",9818.349609375
"1169",10058.7998046875
"1170",9888.6103515625
"1171",10233.599609375
"1172",10975.599609375
"1173",11074.599609375
"1174",11323.2001953125
"1175",11657.2001953125
"1176",11916.7001953125
"1177",14291.5
"1178",17899.69921875
"1179",16569.400390625
"1180",15178.2001953125
"1181",15455.400390625
"1182",16936.80078125
"1183",17415.400390625
"1184",16408.19921875
"1185",16564
"1186",17706.900390625
"1187",19497.400390625
"1188",19140.80078125
"1189",19114.19921875
"1190",17776.69921875
"1191",16624.599609375
"1192",15802.900390625
"1193",13831.7998046875
"1194",14699.2001953125
"1195",13925.7998046875
"1196",14026.599609375
"1197",16099.7998046875
"1198",15838.5
"1199",14606.5
"1200",14656.2001953125
"1201",12952.2001953125
"1202",14156.400390625
"1203",13657.2001953125
"1204",14982.099609375
"1205",15201
"1206",15599.2001953125
"1207",17429.5
"1208",17527
"1209",16477.599609375
"1210",15170.099609375
"1211",14595.400390625
"1212",14973.2998046875
"1213",13405.7998046875
"1214",13980.599609375
"1215",14360.2001953125
"1216",13772
"1217",13819.7998046875
"1218",11490.5
"1219",11188.599609375
"1220",11474.900390625
"1221",11607.400390625
"1222",12899.2001953125
"1223",11600.099609375
"1224",10931.400390625
"1225",10868.400390625
"1226",11359.400390625
"1227",11259.400390625
"1228",11171.400390625
"1229",11440.7001953125
"1230",11786.2998046875
"1231",11296.400390625
"1232",10106.2998046875
"1233",10221.099609375
"1234",9170.5400390625
"1235",8830.75
"1236",9174.91015625
"1237",8277.009765625
"1238",6955.27001953125
"1239",7754
"1240",7621.2998046875
"1241",8265.58984375
"1242",8736.98046875
"1243",8621.900390625
"1244",8129.97021484375
"1245",8926.5703125
"1246",8598.3095703125
"1247",9494.6298828125
"1248",10166.400390625
"1249",10233.900390625
"1250",11112.7001953125
"1251",10551.7998046875
"1252",11225.2998046875
"1253",11403.7001953125
"1254",10690.400390625
"1255",10005
"1256",10301.099609375
"1257",9813.0703125
"1258",9664.73046875
"1259",10366.7001953125
"1260",10725.599609375
"1261",10397.900390625
"1262",10951
"1263",11086.400390625
"1264",11489.7001953125
"1265",11512.599609375
"1266",11573.2998046875
"1267",10779.900390625
"1268",9965.5703125
"1269",9395.009765625
"1270",9337.5498046875
"1271",8866
"1272",9578.6298828125
"1273",9205.1201171875
"1274",9194.849609375
"1275",8269.8095703125
